epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5003,4.10421,2.15166,3.29229,0.87787,0.76489,0.84176,0.39963,2.46962,1.03146,2.12835,0.000661111,0.000661111,0.000661111
2,31.5472,1.67568,0.87059,1.66168,0.90753,0.9162,0.96285,0.70612,1.16235,0.68566,1.28357,0.0012752,0.0012752,0.0012752
3,44.3742,1.29273,0.72594,1.30515,0.88613,0.89751,0.95596,0.71161,1.05286,0.64922,1.17716,0.00183648,0.00183648,0.00183648
4,57.0426,1.14597,0.67119,1.20237,0.9211,0.92858,0.97385,0.7759,0.8749,0.56838,1.07722,0.0017624,0.0017624,0.0017624
5,69.8523,1.05279,0.62284,1.13974,0.9206,0.91787,0.97384,0.7954,0.80431,0.54391,1.04326,0.0016832,0.0016832,0.0016832
6,82.6694,0.96794,0.59355,1.10078,0.92361,0.9184,0.96995,0.739,0.90212,0.57068,1.05828,0.001604,0.001604,0.001604
7,95.4797,0.95923,0.58077,1.07474,0.94606,0.9206,0.97645,0.79022,0.79582,0.53913,1.01037,0.0015248,0.0015248,0.0015248
8,108.346,0.88978,0.55455,1.05131,0.9404,0.92918,0.97865,0.80779,0.72245,0.49843,0.9997,0.0014456,0.0014456,0.0014456
9,121.204,0.8489,0.52592,1.0245,0.93795,0.93472,0.97791,0.81076,0.70211,0.4803,0.98636,0.0013664,0.0013664,0.0013664
10,133.833,0.84346,0.524,1.02068,0.93799,0.93002,0.97824,0.80703,0.69462,0.48213,0.96656,0.0012872,0.0012872,0.0012872
11,146.516,0.81486,0.50616,1.00248,0.93652,0.9402,0.97826,0.81891,0.66424,0.45639,0.97357,0.001208,0.001208,0.001208
12,159.612,0.78401,0.49102,0.99154,0.94625,0.94004,0.98108,0.82864,0.64911,0.43588,0.95492,0.0011288,0.0011288,0.0011288
13,172.379,0.77922,0.48983,0.98528,0.94382,0.94386,0.98198,0.82318,0.65767,0.44008,0.95586,0.0010496,0.0010496,0.0010496
14,185.267,0.78011,0.47991,0.97502,0.94523,0.93393,0.97895,0.81462,0.67271,0.44747,0.95622,0.0009704,0.0009704,0.0009704
15,198.092,0.77156,0.4777,0.97154,0.95138,0.93511,0.98079,0.8319,0.64108,0.44106,0.94153,0.0008912,0.0008912,0.0008912
16,212.806,0.71872,0.48693,0.9509,0.93996,0.94856,0.98231,0.83143,0.62607,0.43239,0.91916,0.000812,0.000812,0.000812
17,225.641,0.69615,0.4602,0.94871,0.93864,0.94712,0.98154,0.8259,0.65153,0.43277,0.92343,0.0007328,0.0007328,0.0007328
18,238.3,0.69109,0.45715,0.94449,0.94841,0.94138,0.98244,0.82746,0.64079,0.42821,0.92216,0.0006536,0.0006536,0.0006536
19,251.001,0.68251,0.44839,0.9447,0.94727,0.94768,0.98346,0.84603,0.59398,0.40108,0.91596,0.0005744,0.0005744,0.0005744
20,263.606,0.66163,0.44219,0.93814,0.93971,0.94999,0.98247,0.84258,0.59678,0.41167,0.90848,0.0004952,0.0004952,0.0004952
21,276.14,0.6509,0.43724,0.93684,0.94381,0.94968,0.98331,0.84581,0.58355,0.39504,0.90747,0.000416,0.000416,0.000416
22,288.669,0.64202,0.42612,0.92566,0.94635,0.95123,0.98462,0.84989,0.57865,0.38836,0.90728,0.0003368,0.0003368,0.0003368
23,301.195,0.63124,0.42045,0.92335,0.94422,0.94869,0.98344,0.84762,0.5841,0.39189,0.9027,0.0002576,0.0002576,0.0002576
24,313.82,0.62961,0.41932,0.92636,0.94248,0.95039,0.98316,0.85066,0.56911,0.38969,0.903,0.0001784,0.0001784,0.0001784
25,326.391,0.62539,0.41291,0.91704,0.94451,0.94905,0.98397,0.85017,0.5703,0.38343,0.89935,9.92e-05,9.92e-05,9.92e-05
